Reg No.	Class & Sec	Year	Period	In Time
2369638240	BSCS - MCS101	4	1	11:27:45
2361810142	BSCS - MCS101	4	1	11:32:16
2361600155	BSCS - MCS101	4	1	11:32:19
2365601206	BSCS - MCS101	4	1	11:33:46
2366800103	BSCS - MCS101	4	1	11:33:53
2369638240	BSCS - MCS101	4	1	11:34:47
2369638246	BSCS - MCS101	4	1	11:34:52
2369810361	BSCS - MCS101	4	1	11:35:01
2373602149	BSCS - MCS101	4	1	11:35:08
2363810124	BSCS - MCS101	4	1	11:36:25
2361600155	BSCS - MCS101	4	1	11:36:34
2357600634	BSCS - MCS101	4	1	11:36:43
2357600110	BSCS - MCS101	4	1	11:36:46
2373635284	BSCS - MCS101	4	1	11:36:49
